# tpr, fnr, fpr
3.005679521814043353e-02,9.996649836081265006e-01,3.350163918734595098e-04
3.005679521814043353e-02,9.996410538658498934e-01,3.589461341501351890e-04
3.024823977366999234e-02,9.996410538658498934e-01,3.589461341501351890e-04
3.024823977366999234e-02,9.996171241235731753e-01,3.828758764268108683e-04
3.069494373657229158e-02,9.996171241235731753e-01,3.828758764268108683e-04
3.069494373657229158e-02,9.995931943812965681e-01,4.068056187034865476e-04
3.109910446491246858e-02,9.995931943812965681e-01,4.068056187034865476e-04
3.109910446491246858e-02,9.995692646390198499e-01,4.307353609801622268e-04
3.137563548956626841e-02,9.995692646390198499e-01,4.307353609801622268e-04
3.137563548956626841e-02,9.995453348967431317e-01,4.546651032568379061e-04
3.180106783518751173e-02,9.995453348967431317e-01,4.546651032568379061e-04
3.184361106974963052e-02,9.995453348967431317e-01,4.546651032568379061e-04
3.558741571121652042e-02,9.995453348967431317e-01,4.546651032568379061e-04
3.558741571121652042e-02,9.995214051544665246e-01,4.785948455335135854e-04
3.590648997043244944e-02,9.995214051544665246e-01,4.785948455335135854e-04
3.590648997043244944e-02,9.994974754121898064e-01,5.025245878101892646e-04
3.675735466167492915e-02,9.994974754121898064e-01,5.025245878101892646e-04
3.679989789623704793e-02,9.994974754121898064e-01,5.025245878101892646e-04
3.835272595775456733e-02,9.994974754121898064e-01,5.025245878101892646e-04
3.835272595775456733e-02,9.994735456699130882e-01,5.264543300868649439e-04
3.948012167365085034e-02,9.994735456699130882e-01,5.264543300868649439e-04
3.948012167365085034e-02,9.994496159276364811e-01,5.503840723635406232e-04
3.962902299461828343e-02,9.994496159276364811e-01,5.503840723635406232e-04
3.962902299461828343e-02,9.994256861853597629e-01,5.743138146402163025e-04
4.056497415498500070e-02,9.994256861853597629e-01,5.743138146402163025e-04
4.056497415498500070e-02,9.994017564430831557e-01,5.982435569168919817e-04
4.082023356235774808e-02,9.994017564430831557e-01,5.982435569168919817e-04
4.082023356235774808e-02,9.993778267008064375e-01,6.221732991935676610e-04
4.088404841420092972e-02,9.993778267008064375e-01,6.221732991935676610e-04
4.088404841420092972e-02,9.993538969585297194e-01,6.461030414702433403e-04
4.152219693263278777e-02,9.993538969585297194e-01,6.461030414702433403e-04
4.152219693263278777e-02,9.993299672162531122e-01,6.700327837469190195e-04
4.190508604369189843e-02,9.993299672162531122e-01,6.700327837469190195e-04
4.190508604369189843e-02,9.993060374739763940e-01,6.939625260235946988e-04
4.203271574737827559e-02,9.993060374739763940e-01,6.939625260235946988e-04
4.207525898194039438e-02,9.993060374739763940e-01,6.939625260235946988e-04
4.207525898194039438e-02,9.992821077316996758e-01,7.178922683002703781e-04
4.294739529046393695e-02,9.992821077316996758e-01,7.178922683002703781e-04
4.298993852502605573e-02,9.992821077316996758e-01,7.178922683002703781e-04
4.396843291995490566e-02,9.992821077316996758e-01,7.178922683002703781e-04
4.396843291995490566e-02,9.992581779894230687e-01,7.418220105769460573e-04
4.403224777179808730e-02,9.992581779894230687e-01,7.418220105769460573e-04
4.407479100636021302e-02,9.992581779894230687e-01,7.418220105769460573e-04
4.418114909276552038e-02,9.992581779894230687e-01,7.418220105769460573e-04
4.418114909276552038e-02,9.992342482471463505e-01,7.657517528536217366e-04
